hospital_rank,name
"
                                                                        ",黑庄户社区卫生服务中心
"
                                                                        ",王四营社区卫生服务中心
"
                                                                        ",双井街道九龙南社区卫生服务站
"
                                    (一甲)                                    ",东里医院
"
                                                                        ",北京市朝阳区南磨房第二社区卫生服务中心
"
                                    (一级)                                    ",北京工业大学医院
"
                                    (三甲, 特色:综合)                                    ",中国人民解放军总医院第一医学中心
"
                                    (三甲, 特色:综合)                                    ",北医三院
"
                                    (三级)                                    ",航天中心医院
"
                                    (三甲)                                    ",世纪坛医院
"
                                    (三级)                                    ",北京市海淀医院
"
                                    (三甲)                                    ",中国人民解放军总医院第三医学中心
"
                                    (三甲, 特色:中医)                                    ",中国中医科学院西苑医院
"
                                    (三甲)                                    ",中国人民解放军总医院第四医学中心
"
                                    (三甲, 特色:口腔)                                    ",北大口腔医院
"
                                    (三甲)                                    ",中国人民解放军总医院第六医学中心
"
                                    (三甲, 特色:肿瘤)                                    ",北京肿瘤医院
"
                                    (三甲)                                    ",空军特色医学中心
"
                                    (三甲)                                    ",中国人民解放军总医院第八医学中心
"
                                    (二甲)                                    ",中关村医院
"
                                    (三级)                                    ",北京老年医院
"
                                    (三甲, 特色:精神)                                    ",北医六院
"
                                    (三甲)                                    ",北京中西医结合医院
"
                                    (三级)                                    ",北京市海淀区妇幼保健院
"
                                    (二级)                                    ",北京四季青医院
"
                                    (二甲)                                    ",北京水利医院
"
                                    (二级)                                    ",上地医院
"
                                                                        ",北大口腔三门诊
"
                                                                        ",北京美尔目医院
"
                                    (三级)                                    ",首医大三博脑科医院
"
                                                                        ",北京诚欣瓒口腔门诊部
"
                                    (一级)                                    ",北京怡宁医院
"
                                                                        ",北京熙仁医院
"
                                    (一级, 特色:生殖医学)                                    ",北京家恩德运医院
"
                                    (二级)                                    ",北京大学医院
"
                                    (二级)                                    ",北京市羊坊店医院
"
                                    (三级)                                    ",北京裕和医院
"
                                                                        ",北京安忻临床心理门诊部
"
                                                                        ",甘家口社区卫生服务中心
"
                                                                        ",万寿路社区卫生服务中心
"
                                                                        ",北京卓越口腔门诊部
"
                                    (二级)                                    ",清华大学医院
"
                                                                        ",北京优尔康健口腔门诊部
"
                                                                        ",青云北区社区卫生服务站
"
                                                                        ",北京林业大学医院
"
                                                                        ",北京市海淀区蓟门里社区卫生服务中心
"
                                                                        ",花园路社区卫生服务中心
"
                                    (二甲)                                    ",北京市社会福利医院
"
                                                                        ",北京交通大学社区卫生服务中心
"
                                                                        ",永定路社区卫生服务中心六街坊社区卫生服务站
"
                                                                        ",温泉镇社区卫生服务中心
"
                                                                        ",天使皮肤科医生集团
"
                                    (一级)                                    ",北京航空航天大学社区卫生服务中心
"
                                                                        ",北京医诚口腔门诊部
"
                                                                        ",北京市海淀区双榆树社区卫生服务中心
"
                                    (二级)                                    ",海淀区精神卫生防治院
"
                                                                        ",清河社区卫生服务中心
"
                                                                        ",中国矿业大学(北京)社区卫生服务站
"
                                                                        ",青云社区卫生服务站
"
                                                                        ",北京市海淀区学院路街道志新村社区卫生服务站
"
                                                                        ",北京科技大学社区卫生服务中心
"
                                                                        ",北太平庄社区卫生服务中心
"
                                                                        ",北京市海淀区田村路社区卫生服务中心
"
                                    (三甲, 特色:综合)                                    ",北京大学第一医院
"
                                    (三甲, 特色:综合)                                    ",北京大学人民医院
"
                                    (三甲, 特色:神外、神内)                                    ",宣武医院
"
                                    (三甲, 特色:综合)                                    ",北京友谊医院
"
                                    (三甲, 特色:心血管)                                    ",阜外医院
"
                                    (三甲, 特色:儿童)                                    ",北京儿童医院
"
                                    (三甲, 特色:骨科,烧伤科)                                    ",北京积水潭医院
"
                                    (三甲, 特色:中医)                                    ",广安门医院
"
                                    (三甲)                                    ",火箭军特色医学中心
"
                                    (三级)                                    ",首都医科大学附属复兴医院
"
                                    (三甲, 特色:精神)                                    ",北京安定医院
"
                                    (三甲)                                    ",护国寺中医院
"
                                    (三甲)                                    ",北京市肛肠医院
"
                                    (三甲)                                    ",解放军305医院
"
                                                                        ",北大口腔医院第一门诊部
"
                                    (三级)                                    ",宣武中医院
"
                                    (二甲)                                    ",北京市第二医院
"
                                    (二级)                                    ",北京按摩医院
"
                                    (二级)                                    ",北京市丰盛中医骨伤专科医院
"
                                    (二甲)                                    ",西城区妇幼保健院
"
                                    (三甲)                                    ",北京市回民医院
"
                                    (二级)                                    ",北京核工业医院
"
                                    (二甲)                                    ",北京市西城区平安医院
"
                                    (二级)                                    ",西城区展览路医院
"
                                    (三级)                                    ",西城区广外医院
"
                                                                        ",白纸坊社区卫生服务中心
"
                                                                        ",北京美和眼科诊所
"
                                                                        ",北京市西城区展览路社区卫生服务中心
"
                                                                        ",广外社区卫生服务中心
"
                                                                        ",什刹海社区卫生服务中心
"
                                                                        ",月坛社区卫生服务中心
"
                                                                        ",陶然亭社区卫生服务中心
"
                                                                        ",西城区德胜社区卫生服务中心
"
                                                                        ",椿树社区卫生服务中心
"
                                                                        ",西城区月坛街道复兴门铁路社区卫生服务站
"
                                    (二甲)                                    ",北京市监狱管理局中心医院  
"
                                                                        ",西长安街社区卫生服务中心
"
                                                                        ",北京市结核病防治所
"
                                                                        ",西城区月坛街道三里河二区社区卫生服务站
"
                                    (一级)                                    ",中国人民公安大学校医院
"
                                                                        ",北京市西城区结核病防治所
"
                                    (三甲, 特色:神外、神内)                                    ",北京天坛医院
"
                                    (三甲)                                    ",中国人民解放军总医院第五医学中心
"
                                    (三甲)                                    ",北京中医药大学东方医院
"
                                    (三甲, 特色:传染)                                    ",北京佑安医院
"
                                    (三级)                                    ",北京电力医院
"
                                    (二甲)                                    ",中国航天科工集团七三一医院
"
                                    (二甲)                                    ",航天总医院
"
                                    (三甲, 特色:康复)                                    ",中国康复研究中心
"
                                    (二甲)                                    ",北京丰台医院
"
                                    (二级)                                    ",北京市丰台区中医医院
"
                                    (三甲)                                    ",北京市丰台中西医结合医院
"
                                    (二级)                                    ",铁营医院
"
                                    (二级)                                    ",北京嘉禾妇儿医院
"
                                    (二级)                                    ",北京博仁医院
"
                                    (二级)                                    ",北京市丰台区妇幼保健计划生育服务中心
"
                                                                        ",北京市丰台区西罗园社区卫生服务中心
"
                                                                        ",丰台社区卫生服务中心
"
                                                                        ",北京市丰台区马家堡社区卫生服务中心
"
                                                                        ",北京市丰台区东高地社区卫生服务中心
"
                                                                        ",右安门社区卫生服务中心
"
                                    (一级)                                    ",北京市丰台区王佐镇社区卫生服务中心
"
                                                                        ",同仁京苑社区卫生服务中心
"
                                                                        ",首都经济贸易大学校医院
"
                                                                        ",北京市丰台区铁营社区卫生服务中心
"
                                                                        ",北京市丰台区新村社区卫生服务中心
"
                                    (一级)                                    ",北京市丰台区花乡社区卫生服务中心
"
                                    (三甲, 特色:综合)                                    ",北京协和医院
"
                                    (三甲, 特色:眼科、耳鼻喉科)                                    ",北京同仁医院
"
                                    (三甲, 特色:综合)                                    ",北京医院
"
                                    (三甲, 特色:中医)                                    ",东直门医院
"
                                    (三甲, 特色:中医)                                    ",北京中医医院
"
                                    (三甲)                                    ",中国人民解放军总医院第七医学中心
"
                                    (三甲, 特色:口腔)                                    ",北京口腔医院
"
                                    (三甲)                                    ",和平里医院
"
                                    (三级)                                    ",北京市第六医院
"
                                                                        ",北京天坛普华医院
"
                                    (二甲)                                    ",北京市普仁医院
"
                                    (三级)                                    ",北京市隆福医院
"
                                    (一级)                                    ",中医科学院针灸医院
"
                                    (三甲)                                    ",中国人民解放军总医院第七医学中心附属八一儿童医院
"
                                    (三级)                                    ",北京市鼓楼中医医院
"
                                    (二甲)                                    ",东城区第一人民医院
"
                                    (二甲)                                    ",北京市东城区妇幼保健院
"
                                                                        ",北京茗视光眼科
"
                                                                        ",东花市社区卫生服务中心
"
                                                                        ",北京唯美口腔门诊部
"
                                    (一甲)                                    ",崇文口腔医院
"
                                                                        ",天坛社区卫生服务中心
"
                                    (二级)                                    ",东城区精神卫生保健院
"
                                                                        ",北京市东城区朝阳门社区卫生服务中心
"
                                    (一级)                                    ",北京市东城区口腔医院
"
                                                                        ",东城区社区卫生服务中心
"
                                    (三级)                                    ",北京市顺义区医院
"
                                    (三甲)                                    ",北京中医医院顺义医院
"
                                    (三级)                                    ",北京儿童医院顺义妇儿医院
"
                                    (二级)                                    ",北京市顺义区空港医院
"
                                    (一甲)                                    ",顺义区李桥镇卫生院
"
                                    (一级)                                    ",顺义区仁和镇卫生院
"
                                    (一级)                                    ",顺义北小营社区卫生服务中心
"
                                    (一级)                                    ",顺义区牛栏山社区卫生服务中心
"
                                    (一甲)                                    ",顺义区第二医院
"
                                                                        ",李遂社区卫生服务中心
"
                                    (一甲)                                    ",张喜庄卫生院
"
                                    (一级)                                    ",顺义天竺社区卫生服务中心
"
                                    (一级)                                    ",顺义区南法信镇卫生院
"
                                    (一级)                                    ",北京市顺义区赵全营镇卫生院
"
                                    (一甲)                                    ",顺义区城区社区卫生服务中心
"
                                    (一甲)                                    ",马坡镇卫生院
"
                                    (一级)                                    ",旺泉社区卫生服务中心
"
                                    (一甲)                                    ",北京市顺义区大孙各庄镇卫生院
"
                                    (三级)                                    ",北京清华长庚医院
"
                                    (三级)                                    ",昌平区医院
"
                                    (三甲, 特色:精神)                                    ",北京回龙观医院
"
                                    (三甲)                                    ",北京市昌平区中医医院
"
                                    (三级)                                    ",北京小汤山医院
"
                                    (三甲)                                    ",北京市昌平区中西医结合医院
"
                                    (二甲)                                    ",昌平区妇幼保健院
"
                                    (一级)                                    ",北京霍普医院
"
                                    (三级)                                    ",北京京都儿童医院
"
                                    (一级)                                    ",昌平区回龙观社区卫生服务中心
"
                                    (一级)                                    ",北京市昌平区城区社区卫生服务中心
"
                                    (二级)                                    ",北京市昌平区南口医院
"
                                    (二级)                                    ",北京市昌平区精神卫生保健院
"
                                    (二级)                                    ",沙河医院
"
                                    (二级)                                    ",民康医院
"
                                    (一级)                                    ",北京市昌平区十三陵社区卫生服务中心
"
                                    (三级)                                    ",北京潞河医院
"
                                    (三甲)                                    ",北京中医药大学东直门医院通州院区
"
                                    (三甲)                                    ",北京胸科医院
"
                                    (二甲)                                    ",北京市通州区中西医结合医院
"
                                    (二甲)                                    ",中国人民解放军总医院京东医疗区
"
                                    (二甲)                                    ",通州区妇幼保健院
"
                                    (二级)                                    ",北京市通州区新华医院
"
                                    (二级)                                    ",北京市通州区老年病医院
"
                                    (一级)                                    ",牛堡屯社区卫生服务中心
"
                                    (一级)                                    ",梨园社区卫生服务中心
"
                                    (一甲)                                    ",台湖镇台湖社区卫生服务中心
"
                                    (一甲)                                    ",张家湾卫生院
"
                                    (一甲)                                    ",郎府卫生院
"
                                    (三级)                                    ",北京大学首钢医院
"
                                    (三甲)                                    ",北京朝阳医院西院
"
                                    (二甲)                                    ",北京石景山医院
"
                                    (三甲, 特色:整形)                                    ",八大处整形医院
"
                                    (三级)                                    ",清华大学玉泉医院
"
                                    (三甲)                                    ",中国中医科学院眼科医院
"
                                    (三级)                                    ",北京康复医院
"
                                    (二级)                                    ",石景山区中医医院
"
                                    (二级)                                    ",石景山区妇幼保健院
"
                                                                        ",石景山区古城社区卫生服务中心
"
                                                                        ",北京市石景山区金顶街社区卫生服务中心
"
                                                                        ",北京市石景山区金顶街街道赵山社区卫生服务站
"
                                                                        ",石景山区鲁谷社区卫生服务中心
"
                                    (三级)                                    ",北京市房山区良乡医院
"
                                    (三甲)                                    ",北京中医药大学房山医院
"
                                    (三级)                                    ",北京燕化医院
"
                                    (二甲)                                    ",房山区第一医院
"
                                    (二级)                                    ",中国核工业北京四〇一医院
"
                                    (二甲)                                    ",房山区妇幼保健院
"
                                    (一级)                                    ",房山区城关地区社区卫生服务中心
"
                                                                        ",燕山东风街道社区卫生服务中心
"
                                    (一甲)                                    ",北京中能建医院
"
                                    (一级)                                    ",北京市房山区韩村河镇社区卫生服务中心
"
                                    (二级)                                    ",北京市房山区精神病医院
"
                                    (一甲)                                    ",房山区长沟中心卫生院
"
                                    (二甲)                                    ",北京市仁和医院
"
                                    (三甲)                                    ",中国中医科学院广安门医院南区
"
                                    (三甲)                                    ",北京同仁医院南区
"
                                    (三级)                                    ",北京市大兴区人民医院
"
                                    (三级)                                    ",北京市大兴区中西医结合医院
"
                                    (二级)                                    ",国家康复医院
"
                                    (三级)                                    ",北京美中爱瑞肿瘤医院
"
                                    (二甲)                                    ",北京市大兴区妇幼保健院
"
                                    (二甲)                                    ",北京市大兴区心康医院
"
                                    (三级)                                    ",北京陆道培医院
"
                                    (一级)                                    ",瀛海镇社区卫生服务中心
"
                                    (一甲)                                    ",大兴区旧宫医院
"
                                    (二甲)                                    ",北京市密云区医院
"
                                    (二甲)                                    ",密云区妇幼保健院
"
                                    (一甲)                                    ",鼓楼社区卫生服务中心
"
                                    (二甲)                                    ",密云区中医医院
"
                                    (一级)                                    ",果园社区卫生服务中心
"
                                    (一甲)                                    ",巨各庄镇社区卫生服务中心
"
                                    (一级)                                    ",溪翁庄镇社区卫生服务中心
"
                                    (一级)                                    ",北京市密云区太师屯镇社区卫生服务中心
"
                                    (一级)                                    ",密云区西田各庄社区卫生服务中心
"
                                    (一级)                                    ",密云区河南寨镇社区卫生服务中心
"
                                    (三级)                                    ",平谷区医院
"
                                    (三甲)                                    ",北京中医医院平谷医院
"
                                    (二级)                                    ","平谷区妇幼保健院,"
"
                                    (一级)                                    ",平谷区王辛庄镇社区卫生服务中心
"
                                    (二级)                                    ",平谷区精神病医院
"
                                    (一甲)                                    ",峪口镇社区卫生服务中心
"
                                    (一级)                                    ",北京市平谷区金海湖镇社区卫生服务中心
"
                                    (一甲)                                    ",北京市平谷区马坊镇社区卫生服务中心
"
                                    (一级)                                    ",平谷区东高村镇中心卫生院
"
                                    (二甲)                                    ",北京怀柔医院
"
                                    (三级)                                    ",北京中医医院怀柔医院
"
                                    (二甲)                                    ",北京市怀柔区妇幼保健院
"
                                    (二级)                                    ",北京市怀柔区第二医院
"
                                    (一级)                                    ",北京市怀柔区泉河街道社区卫生服务中心
"
                                    (一级)                                    ",怀柔镇社区卫生服务中心
"
                                    (二甲)                                    ",北京市延庆区医院
"
                                    (二级)                                    ",北京中医医院延庆医院
"
                                    (二甲)                                    ",延庆区妇幼保健院
"
                                    (一级)                                    ",延庆镇社区卫生服务中心
"
                                    (二级)                                    ",延庆区精神病医院
"
                                    (三级)                                    ",京煤集团总医院
"
                                    (二甲)                                    ",门头沟区医院
"
                                    (二甲)                                    ",北京市门头沟区中医医院
"
                                    (二甲)                                    ",北京市门头沟区妇幼保健计划生育服务中心
"
                                                                        ",李峻岭医生团队
"
                                    (三甲)                                    ",泰达心血管医院
"
                                    (三甲)                                    ",天津医科大学总医院空港医院
"
                                    (三级)                                    ",泰达医院
"
                                    (二甲)                                    ",天津医科大学总医院滨海医院
"
                                    (二级)                                    ",天津医科大学中新生态城医院
"
                                    (二甲)                                    ",滨海新区中医医院
"
                                    (二级)                                    ",天津市永久医院
"
                                    (三级)                                    ",天津市滨海新区大港医院
"
                                    (二甲)                                    ",天津市滨海新区汉沽中医医院
"
                                    (一级)                                    ",天津市汉沽区盐场医院
"
                                                                        ",天津市滨海新区塘沽街新港社区卫生服务中心
"
                                    (二级)                                    ",大港中医医院
"
                                    (二甲)                                    ",天津市滨海新区塘沽妇产医院
"
                                    (一级)                                    ",中新天津生态城社区卫生服务中心
"
                                    (二级)                                    ",天津市滨海新区塘沽传染病医院
"
                                    (一级)                                    ",天津市滨海新区汉沽街社区卫生服务中心
"
                                    (二级)                                    ",天津市滨海新区大港社区医院
"
                                    (二级)                                    ",塘沽响螺湾医院
"
                                    (三甲, 特色:中医)                                    ",天津中医药大学第一附属医院
"
                                    (三甲, 特色:综合)                                    ",天津市第一中心医院
"
                                    (三甲, 特色:消化)                                    ",天津市中西医结合医院
"
                                    (三甲, 特色:妇产)                                    ",天津市中心妇产科医院
"
                                    (三甲, 特色:传染)                                    ",天津市第二人民医院
"
                                    (三甲, 特色:眼科)                                    ",天津医科大学眼科医院
"
                                    (二甲)                                    ",天津市黄河医院
"
                                    (二甲)                                    ",南开中医院
"
                                                                        ",天津美中宜和妇儿医院
"
                                    (二级)                                    ",天津市三潭医院
"
                                    (二甲)                                    ",王顶堤医院
"
                                    (二级)                                    ",天津市水阁医院
"
                                    (一级)                                    ",天津市南开区体育中心街社区卫生服务中心
"
                                    (一级)                                    ",天津中医药大学附属保康医院
"
                                    (三甲, 特色:综合)                                    ",天津医科大学总医院
"
                                    (三甲, 特色:口腔)                                    ",天津市口腔医院
"
                                    (三甲, 特色:糖尿病)                                    ",天津医科大学朱宪彝纪念医院
"
                                    (三甲, 特色:眼科)                                    ",天津市眼科医院
"
                                    (三甲, 特色:血液病)                                    ",中国医学科学院血液病医院
"
                                    (三甲, 特色:口腔)                                    ",天津医科大学口腔医院
"
                                    (二甲)                                    ",天津市公安医院
"
                                    (三级)                                    ",天津市妇女儿童保健中心
"
                                    (二级)                                    ",天津市和平区中医医院
"
                                    (二甲)                                    ",中国人民解放军联勤保障部队第九八三医院和平院区
"
                                    (二级)                                    ",天津市结核病控制中心
"
                                    (一级)                                    ",和平区劝业场街社区卫生服务中心
"
                                    (一级)                                    ",天津市和平区小白楼街社区卫生服务中心
"
                                    (三甲)                                    ",天津医科大学第二医院
"
                                    (三甲, 特色:肿瘤)                                    ",天津医科大学肿瘤医院
"
                                    (三甲, 特色:骨科、血管外科)                                    ",天津医院
"
                                    (三甲, 特色:儿童)                                    ",天津市儿童医院
"
                                    (三甲, 特色:精神)                                    ",天津市安定医院
